2025-10-28 06:29:08.730 WARNING (Recorder) [homeassistant.components.recorder.util] The system could not validate that the sqlite3 database at //config/home-assistant_v2.db was shutdown cleanly
2025-10-28 06:29:09.444 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:09.450 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:09.457 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:09.458 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.769 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.779 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.781 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.783 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.785 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.786 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.788 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:12.789 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:18.065 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:18.067 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:18.068 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:18.070 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:23.134 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:23.136 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:23.138 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 06:29:23.139 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:29:35.552 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:29:35.555 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:29:35.556 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:29:35.557 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:00.639 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:00.641 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:00.642 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:00.644 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:56.016 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:56.018 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:56.019 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:30:56.020 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:31:20.724 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:31:20.726 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:31:20.727 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:31:20.727 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:16.125 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:16.127 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:16.128 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:16.130 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:41.219 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:41.221 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:41.223 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:32:41.224 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:33:36.627 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:33:36.630 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:33:36.631 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:33:36.632 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:01.397 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:01.400 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:01.401 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:01.402 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:57.063 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:57.065 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:57.066 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:34:57.068 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:35:21.792 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:35:21.794 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:35:21.795 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:35:21.796 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:17.432 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:17.435 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:17.436 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:17.437 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:42.239 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:42.241 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:42.242 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:36:42.244 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:37:37.619 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:37:37.621 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
